context_participant,context_block_code,subject,grade,blockContent,language,accommodation,modality,context_accession_number,context_accession_number,act_seq_acc,n_enter_item,n_enter_block,n_exit_item,n_update_singleselect,n_click_itemtab,n_trigger_scroll,n_next_button,n_clear_singleselect,n_input_equationeditor,n_update_mathinput,n_add_drag,n_more_button,n_bottomreached_scroll,n_update_zone,n_activate_scratchwork,n_start_scratchwork,n_end_scratchwork,n_deactivate_scratchwork,n_update_scratchwork,n_clear_scratchwork,n_open_equationeditor,n_close_equationeditor,n_top_button,n_changestate_iic,n_update_iic,n_update_inlinechoice,n_update_multiselect,n_remove_drag,n_previous_button,n_clear_multiselect,n_show_help,n_in_zoom,n_out_zoom,n_activate_tts,n_deactivate_tts,n_speak_tts,n_change_theme,n_clear_drag,n_erasemode_scratchwork,n_replace_drag,n_drawmode_scratchwork,n_hide_timer,n_show_timer,n_highlightmode_scratchwork,n_clear_zone,n_hide_help,n_clear_inlinechoice,enter_item_bool,enter_block_bool,exit_item_bool,update_singleselect_bool,click_itemtab_bool,trigger_scroll_bool,next_button_bool,clear_singleselect_bool,input_equationeditor_bool,update_mathinput_bool,add_drag_bool,more_button_bool,bottomreached_scroll_bool,update_zone_bool,activate_scratchwork_bool,start_scratchwork_bool,end_scratchwork_bool,deactivate_scratchwork_bool,update_scratchwork_bool,clear_scratchwork_bool,ope_bool,close_equationeditor_bool,top_button_bool,changestate_iic_bool,update_iic_bool,update_inlinechoice_bool,update_multiselect_bool,remove_drag_bool,previous_button_bool,clear_multiselect_bool,show_help_bool,i_bool,out_zoom_bool,activate_tts_bool,deactivate_tts_bool,speak_tts_bool,change_theme_bool,clear_drag_bool,erasemode_scratchwork_bool,replace_drag_bool,drawmode_scratchwork_bool,hide_timer_bool,show_timer_bool,highlightmode_scratchwork_bool,clear_zone_bool,hide_help_bool,clear_inlinechoice_bool,n_modalitychanged,modalitychanged_bool
ND47DY,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,mouse,VH098749,VH098749,"['update_singleselect', 'next_button']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
NH55ZQ,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,mouse,VH098749,VH098749,"['update_singleselect', 'next_button']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
NJ35DK,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,touch,VH098749,VH098749,"['update_singleselect', 'update_singleselect', 'update_singleselect', 'update_singleselect', 'next_button']",0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
NJ85QV,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,mouse,VH098749,VH098749,"['update_singleselect', 'next_button']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
NN23VN,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,mouse,VH098749,VH098749,"['trigger_scroll', 'activate_tts', 'speak_tts', 'speak_tts', 'deactivate_tts', 'update_singleselect', 'next_button']",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,2,True
NR57PL,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,mouse,VH098749,VH098749,"['update_singleselect', 'click_itemtab']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
NV88XQ,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,mouse,VH098749,VH098749,"['update_singleselect', 'next_button']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
NW83DN,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,mouse,VH098749,VH098749,"['update_singleselect', 'next_button']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
PD22MF,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,mouse,VH098749,VH098749,"['trigger_scroll', 'update_singleselect', 'next_button']",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
PR29HK,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,touch,VH098749,VH098749,"['update_singleselect', 'next_button']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
PR78ZV,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,touch,VH098749,VH098749,"['update_singleselect', 'next_button']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
PY42ZG,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,touch,VH098749,VH098749,"['more_button', 'bottomreached_scroll', 'bottomreached_scroll', 'top_button', 'more_button', 'trigger_scroll', 'update_singleselect', 'next_button', 'next_button']",0,0,0,1,0,1,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,True
PZ97PC,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,touch,VH098749,VH098749,"['update_singleselect', 'next_button']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
QC97KP,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,mouse,VH098749,VH098749,['update_singleselect'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
QC97KP,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,touch,VH098749,VH098749,['click_itemtab'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
QH26HQ,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,touch,VH098749,VH098749,"['activate_tts', 'speak_tts', 'deactivate_tts', 'click_itemtab', 'update_singleselect', 'update_singleselect', 'update_singleselect', 'clear_singleselect', 'update_singleselect', 'next_button']",0,0,0,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,3,True
QM68CB,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,mouse,VH098749,VH098749,"['update_singleselect', 'update_singleselect', 'next_button']",0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
QM94YM,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,touch,VH098749,VH098749,"['bottomreached_scroll', 'more_button', 'top_button', 'trigger_scroll', 'update_singleselect', 'update_singleselect', 'update_singleselect', 'next_button']",0,0,0,3,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
QR95SQ,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,pen,VH098749,VH098749,"['start_scratchwork', 'start_scratchwork', 'start_scratchwork', 'start_scratchwork', 'start_scratchwork', 'start_scratchwork', 'start_scratchwork', 'start_scratchwork', 'start_scratchwork', 'start_scratchwork', 'start_scratchwork']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True
QR95SQ,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,touch,VH098749,VH098749,"['activate_scratchwork', 'end_scratchwork', 'end_scratchwork', 'end_scratchwork', 'end_scratchwork', 'end_scratchwork', 'end_scratchwork', 'erasemode_scratchwork', 'start_scratchwork', 'end_scratchwork', 'drawmode_scratchwork', 'end_scratchwork', 'end_scratchwork', 'end_scratchwork', 'update_scratchwork', 'clear_scratchwork', 'deactivate_scratchwork', 'update_singleselect', 'next_button', 'click_itemtab']",0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,14,True
RB58QY,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,mouse,VH098749,VH098749,['update_singleselect'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
RB58QY,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,touch,VH098749,VH098749,['next_button'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
RD43MF,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,touch,VH098749,VH098749,"['update_singleselect', 'next_button']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
RR63NJ,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,mouse,VH098749,VH098749,"['update_singleselect', 'next_button']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
RR63NJ,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,touch,VH098749,VH098749,['click_itemtab'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
SD69DH,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,mouse,VH098749,VH098749,"['trigger_scroll', 'update_singleselect', 'click_itemtab', 'click_itemtab']",0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
SD78ZS,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,mouse,VH098749,VH098749,"['update_singleselect', 'update_singleselect', 'update_singleselect', 'update_singleselect', 'update_singleselect', 'click_itemtab']",0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
SD78ZS,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,touch,VH098749,VH098749,"['click_itemtab', 'click_itemtab', 'click_itemtab', 'click_itemtab', 'click_itemtab', 'next_button']",0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,True
SM42MG,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,mouse,VH098749,VH098749,"['update_singleselect', 'next_button']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
SQ43MF,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,mouse,VH098749,VH098749,"['activate_tts', 'speak_tts', 'deactivate_tts', 'update_singleselect', 'update_singleselect', 'next_button']",0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,2,True
SQ43MF,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,touch,VH098749,VH098749,['previous_button'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
SQ85NW,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,touch,VH098749,VH098749,"['update_singleselect', 'next_button']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
SS52QQ,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,touch,VH098749,VH098749,"['trigger_scroll', 'update_singleselect', 'click_itemtab']",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
TC78VQ,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,mouse,VH098749,VH098749,['trigger_scroll'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
TC78VQ,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,touch,VH098749,VH098749,"['update_singleselect', 'next_button']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
TD94JR,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,mouse,VH098749,VH098749,['click_itemtab'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
TD94JR,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,touch,VH098749,VH098749,"['trigger_scroll', 'update_singleselect', 'update_singleselect', 'update_singleselect', 'update_singleselect', 'click_itemtab']",0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
TM46DZ,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,mouse,VH098749,VH098749,"['trigger_scroll', 'update_singleselect', 'next_button']",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
TS33KQ,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,mouse,VH098749,VH098749,"['change_theme', 'change_theme', 'change_theme', 'change_theme', 'change_theme', 'change_theme', 'update_singleselect', 'next_button']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2,True
TW26PK,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,touch,VH098749,VH098749,"['update_singleselect', 'update_singleselect', 'update_singleselect', 'update_singleselect', 'update_singleselect', 'update_singleselect', 'next_button']",0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
TW76JN,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,mouse,VH098749,VH098749,"['click_itemtab', 'update_singleselect']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
TW76JN,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,touch,VH098749,VH098749,"['click_itemtab', 'next_button']",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
TY78SB,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,touch,VH098749,VH098749,"['update_singleselect', 'update_singleselect', 'update_singleselect', 'next_button']",0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
VC85XT,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,mouse,VH098749,VH098749,"['update_singleselect', 'next_button']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
VN25JT,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,touch,VH098749,VH098749,"['update_singleselect', 'click_itemtab']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
VT35MX,2419MA1R11CLID30EX,Math,4th Grade,Cog,English,no accom,touch,VH098749,VH098749,"['update_singleselect', 'next_button']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
