context_participant,context_block_code,subject,grade,blockContent,language,accommodation,modality,context_accession_number,context_accession_number,act_seq_acc,n_enter_item,n_enter_block,n_update_singleselect,n_next_button,n_trigger_scroll,n_change_language,n_clear_singleselect,n_click_itemtab,n_in_zoom,n_out_zoom,n_change_theme,n_activate_tts,n_speak_tts,n_deactivate_tts,n_top_button,n_more_button,n_bottomreached_scroll,n_update_textinput,n_activate_scratchwork,n_start_scratchwork,n_end_scratchwork,n_update_scratchwork,n_clear_scratchwork,n_deactivate_scratchwork,n_highlightmode_scratchwork,n_drawmode_scratchwork,n_erasemode_scratchwork,n_previous_button,n_show_help,n_hide_help,n_hide_timer,n_show_timer,enter_item_bool,enter_block_bool,update_singleselect_bool,next_button_bool,trigger_scroll_bool,change_language_bool,clear_singleselect_bool,click_itemtab_bool,i_bool,out_zoom_bool,change_theme_bool,activate_tts_bool,speak_tts_bool,deactivate_tts_bool,top_button_bool,more_button_bool,bottomreached_scroll_bool,update_textinput_bool,activate_scratchwork_bool,start_scratchwork_bool,end_scratchwork_bool,update_scratchwork_bool,clear_scratchwork_bool,deactivate_scratchwork_bool,highlightmode_scratchwork_bool,drawmode_scratchwork_bool,erasemode_scratchwork_bool,previous_button_bool,show_help_bool,hide_help_bool,hide_timer_bool,show_timer_bool,n_modalitychanged,modalitychanged_bool
HP26SG,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,mouse,VH132455,VH132455,['click_itemtab'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
HP26SG,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,touch,VH132455,VH132455,"['activate_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'deactivate_tts', 'update_singleselect', 'update_singleselect', 'clear_singleselect', 'update_singleselect', 'next_button', 'click_itemtab']",0,0,3,1,0,0,1,1,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,True,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
KB28LK,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,mouse,VH132455,VH132455,"['update_singleselect', 'next_button']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
KH39RF,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,mouse,VH132455,VH132455,"['update_singleselect', 'next_button']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
MX63FB,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,touch,VH132455,VH132455,"['update_singleselect', 'next_button']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
VJ64BM,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,mouse,VH132455,VH132455,"['update_singleselect', 'next_button']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
YT26XR,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,touch,VH132455,VH132455,"['update_singleselect', 'next_button']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
HB73RY,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,mouse,VH132463,VH132463,"['trigger_scroll', 'change_language', 'change_language', 'change_language', 'update_singleselect', 'update_singleselect', 'update_singleselect', 'update_singleselect', 'update_singleselect', 'update_singleselect', 'update_singleselect', 'clear_singleselect', 'update_singleselect', 'update_singleselect', 'click_itemtab', 'clear_singleselect', 'clear_singleselect', 'clear_singleselect', 'clear_singleselect', 'clear_singleselect', 'update_singleselect', 'next_button']",0,0,10,1,1,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
HP26SG,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,mouse,VH132463,VH132463,"['update_singleselect', 'next_button', 'click_itemtab', 'click_itemtab']",0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,True
KH39RF,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,mouse,VH132463,VH132463,"['update_singleselect', 'next_button']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
VJ64BM,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,mouse,VH132463,VH132463,"['trigger_scroll', 'update_singleselect', 'next_button']",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
YT26XR,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,touch,VH132463,VH132463,"['update_singleselect', 'click_itemtab']",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
HB73RY,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,mouse,VH132466,VH132466,"['trigger_scroll', 'update_singleselect', 'next_button', 'click_itemtab']",0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
HP26SG,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,mouse,VH132466,VH132466,"['click_itemtab', 'update_singleselect', 'update_singleselect', 'update_singleselect', 'update_singleselect', 'update_singleselect', 'next_button', 'click_itemtab', 'click_itemtab']",0,0,5,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,True
HP26SG,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,touch,VH132466,VH132466,['update_singleselect'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
KB28LK,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,mouse,VH132466,VH132466,"['trigger_scroll', 'activate_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'deactivate_tts', 'update_singleselect', 'click_itemtab']",0,0,1,0,1,0,0,1,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,True,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
KH39RF,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,mouse,VH132466,VH132466,"['update_singleselect', 'next_button', 'click_itemtab']",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
VJ64BM,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,mouse,VH132466,VH132466,"['update_singleselect', 'next_button']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
YT26XR,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,touch,VH132466,VH132466,"['update_singleselect', 'update_singleselect', 'next_button']",0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
HB73RY,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,mouse,VH132492,VH132492,"['trigger_scroll', 'click_itemtab', 'update_singleselect', 'next_button']",0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
HP26SG,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,mouse,VH132492,VH132492,"['click_itemtab', 'click_itemtab']",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
HP26SG,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,pen,VH132492,VH132492,"['start_scratchwork', 'start_scratchwork', 'start_scratchwork', 'start_scratchwork', 'start_scratchwork', 'start_scratchwork', 'start_scratchwork']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,7,True
HP26SG,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,touch,VH132492,VH132492,"['update_singleselect', 'update_singleselect', 'activate_scratchwork', 'highlightmode_scratchwork', 'end_scratchwork', 'erasemode_scratchwork', 'end_scratchwork', 'end_scratchwork', 'end_scratchwork', 'end_scratchwork', 'end_scratchwork', 'end_scratchwork', 'deactivate_scratchwork', 'next_button']",0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,1,1,0,1,0,0,0,0,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,True,False,False,False,False,False,8,True
KB28LK,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,mouse,VH132492,VH132492,"['activate_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'deactivate_tts', 'update_singleselect', 'click_itemtab']",0,0,1,0,0,0,0,1,0,0,0,1,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
KH39RF,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,mouse,VH132492,VH132492,"['trigger_scroll', 'update_singleselect', 'next_button']",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
MX63FB,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,touch,VH132492,VH132492,"['update_singleselect', 'next_button']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
VJ64BM,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,mouse,VH132492,VH132492,"['trigger_scroll', 'update_singleselect', 'next_button']",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
YT26XR,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,touch,VH132492,VH132492,"['update_singleselect', 'update_singleselect', 'update_singleselect', 'next_button', 'update_singleselect', 'previous_button', 'next_button']",0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,3,True
HB73RY,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,mouse,VH132501,VH132501,"['in_zoom', 'in_zoom', 'in_zoom', 'out_zoom', 'out_zoom', 'out_zoom', 'change_theme', 'change_theme', 'activate_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'deactivate_tts', 'in_zoom', 'out_zoom', 'update_singleselect', 'next_button']",0,0,1,1,0,0,0,0,4,4,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
HP26SG,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,mouse,VH132501,VH132501,"['click_itemtab', 'click_itemtab']",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
HP26SG,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,pen,VH132501,VH132501,"['start_scratchwork', 'start_scratchwork', 'start_scratchwork', 'start_scratchwork']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,4,True
HP26SG,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,touch,VH132501,VH132501,"['update_singleselect', 'update_singleselect', 'update_singleselect', 'update_singleselect', 'update_singleselect', 'update_singleselect', 'update_singleselect', 'activate_scratchwork', 'highlightmode_scratchwork', 'end_scratchwork', 'end_scratchwork', 'end_scratchwork', 'end_scratchwork', 'update_scratchwork', 'clear_scratchwork', 'start_scratchwork', 'end_scratchwork', 'drawmode_scratchwork', 'highlightmode_scratchwork', 'deactivate_scratchwork', 'next_button']",0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,1,1,2,1,0,0,0,0,0,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,5,True
KB28LK,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,mouse,VH132501,VH132501,"['activate_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'deactivate_tts', 'update_singleselect', 'click_itemtab']",0,0,1,0,0,0,0,1,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
KH39RF,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,mouse,VH132501,VH132501,"['update_singleselect', 'next_button']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
MX63FB,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,touch,VH132501,VH132501,"['update_singleselect', 'next_button']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
VJ64BM,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,mouse,VH132501,VH132501,"['update_singleselect', 'update_singleselect', 'next_button']",0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
YT26XR,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,touch,VH132501,VH132501,"['click_itemtab', 'update_singleselect', 'next_button']",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
HB73RY,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,mouse,VH132504,VH132504,"['trigger_scroll', 'top_button', 'trigger_scroll', 'trigger_scroll', 'update_singleselect', 'next_button', 'click_itemtab']",0,0,1,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
HP26SG,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,mouse,VH132504,VH132504,"['click_itemtab', 'activate_tts', 'speak_tts', 'more_button', 'bottomreached_scroll', 'trigger_scroll', 'speak_tts', 'speak_tts', 'speak_tts', 'trigger_scroll', 'speak_tts', 'trigger_scroll', 'trigger_scroll', 'top_button', 'trigger_scroll', 'speak_tts', 'deactivate_tts', 'click_itemtab', 'click_itemtab']",0,0,0,0,5,0,0,3,0,0,0,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,True,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,True
HP26SG,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,touch,VH132504,VH132504,"['click_itemtab', 'previous_button', 'trigger_scroll', 'trigger_scroll', 'trigger_scroll', 'trigger_scroll', 'trigger_scroll', 'trigger_scroll', 'trigger_scroll', 'trigger_scroll', 'update_singleselect', 'trigger_scroll', 'next_button']",0,0,1,1,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,3,True
